BLOCKID|DISTRICT
440010301001000|01
440010301001001|01
440010301001002|01
440010301001003|01
440010301001004|01
440010301001005|01
440010301001006|01
440010301001007|01
440010301001008|01
440010301001009|01
440010301001010|01
440010301001011|01
440010301001012|01
440010301001013|01
440010301001014|01
440010301001015|01
440010301001016|01
440010301001017|01
440010301001018|01
440010301001019|01
440010301001020|01
440010301001021|01
440010301001022|01
440010301001023|01
440010301001024|01
440010301001025|01
440010301001026|01
440010301001027|01
440010301001028|01
440010301001029|01
440010301001030|01
440010301001031|01
440010301001032|01
440010301001033|01
440010301001034|01
440010301001035|01
440010301001036|01
440010301001037|01
440010301001038|01
440010301001039|01
440010301001040|01
440010301001041|01
440010301002000|01
440010301002001|01
440010301002002|01
440010301002003|01
440010301002004|01
440010301002005|01
440010301002006|01
440010301002007|01
440010301002008|01
440010301002009|01
440010301002010|01
440010301002011|01
440010301002012|01
440010301002013|01
440010301002014|01
440010301002015|01
440010301002016|01
440010301002017|01
440010301002018|01
440010301002019|01
440010301002020|01
440010301002021|01
440010301002022|01
440010301002023|01
440010301002024|01
440010301002025|01
440010301002026|01
440010301003000|01
440010301003001|01
440010301003002|01
440010301003003|01
440010301003004|01
440010301003005|01
440010301003006|01
440010301003007|01
440010301003008|01
440010301003009|01
440010301003010|01
440010301003011|01
440010301003012|01
440010301003013|01
440010301003014|01
440010301003015|01
440010301003016|01
440010301003017|01
440010301003018|01
440010301003019|01
440010301003020|01
440010301003021|01
440010301003022|01
440010301003023|01
440010301003024|01
440010301003025|01
440010301003026|01
440010301003027|01
440010301003028|01
440010301003029|01
440010301003030|01
440010301003031|01
440010301003032|01
440010301003033|01
440010301003034|01
440010301003035|01
440010301003036|01
440010301003037|01
440010301003038|01
440010301003039|01
440010301003040|01
440010301003041|01
440010301003042|01
440010301004000|01
440010301004001|01
440010301004002|01
440010301004003|01
440010301004004|01
440010301004005|01
440010301004006|01
440010301004007|01
440010301004008|01
440010301004009|01
440010301004010|01
440010301004011|01
440010301004012|01
440010301004013|01
440010301004014|01
440010301004015|01
440010301004016|01
440010301004017|01
440010301004018|01
440010301004019|01
440010301004020|01
440010301004021|01
440010301004022|01
440010301004023|01
440010301004024|01
440010301004025|01
440010301004026|01
440010301004027|01
440010301004028|01
440010301004029|01
440010301004030|01
440010301004031|01
440010301004032|01
440010301004033|01
440010302001000|01
440010302001001|01
440010302001002|01
440010302001003|01
440010302001004|01
440010302001005|01
440010302001006|01
440010302001007|01
440010302001008|01
440010302001009|01
440010302001010|01
440010302001011|01
440010302001012|01
440010302001013|01
440010302001014|01
440010302001015|01
440010302001016|01
440010302001017|01
440010302001018|01
440010302001019|01
440010302001020|01
440010302001021|01
440010302001022|01
440010302001023|01
440010302001024|01
440010302001025|01
440010302001026|01
440010302001027|01
440010302001028|01
440010302001029|01
440010302001030|01
440010302001031|01
440010302001032|01
440010302001033|01
440010302001034|01
440010302001035|01
440010302001036|01
440010302002000|01
440010302002001|01
440010302002002|01
440010302002003|01
440010302002004|01
440010302002005|01
440010302002006|01
440010302002007|01
440010302002008|01
440010302002009|01
440010302002010|01
440010302002011|01
440010302002012|01
440010302002013|01
440010302002014|01
440010302002015|01
440010302002016|01
440010302002017|01
440010302002018|01
440010302002019|01
440010302002020|01
440010302002021|01
440010302002022|01
440010302002023|01
440010302002024|01
440010302002025|01
440010302002026|01
440010302002027|01
440010302002028|01
440010302003000|01
440010302003001|01
440010302003002|01
440010302003003|01
440010302003004|01
440010302003005|01
440010302003006|01
440010302003007|01
440010302003008|01
440010302003009|01
440010302003010|01
440010302003011|01
440010302003012|01
440010302003013|01
440010302003014|01
440010302003015|01
440010302003016|01
440010302003017|01
440010302003018|01
440010302003019|01
440010302003020|01
440010302003021|01
440010302003022|01
440010302003023|01
440010302003024|01
440010302003025|01
440010302003026|01
440010302003027|01
440010302003028|01
440010302003029|01
440010302003030|01
440010302003031|01
440010303001000|01
440010303001001|01
440010303001002|01
440010303001003|01
440010303001004|01
440010303001005|01
440010303001006|01
440010303001007|01
440010303001008|01
440010303001009|01
440010303001010|01
440010303001011|01
440010303001012|01
440010303001013|01
440010303001014|01
440010303001015|01
440010303001016|01
440010303001017|01
440010303001018|01
440010303001019|01
440010303001020|01
440010303001021|01
440010303001022|01
440010303001023|01
440010303001024|01
440010303001025|01
440010303001026|01
440010303001027|01
440010303001028|01
440010303001029|01
440010303001030|01
440010303001031|01
440010303002000|01
440010303002001|01
440010303002002|01
440010303002003|01
440010303002004|01
440010303002005|01
440010303002006|01
440010303002007|01
440010303002008|01
440010303002009|01
440010303002010|01
440010303002011|01
440010303002012|01
440010303002013|01
440010303002014|01
440010303002015|01
440010303002016|01
440010303002017|01
440010303002018|01
440010303002019|01
440010303002020|01
440010303002021|01
440010303002022|01
440010303002023|01
440010303002024|01
440010303002025|01
440010303002026|01
440010303002027|01
440010303002028|01
440010303002029|01
440010303002030|01
440010303002031|01
440010303002032|01
440010303002033|01
440010303002034|01
440010303002035|01
440010303003000|01
440010303003001|01
440010303003002|01
440010303003003|01
440010303003004|01
440010303003005|01
440010303003006|01
440010303003007|01
440010303003008|01
440010303003009|01
440010303003010|01
440010303003011|01
440010303003012|01
440010303003013|01
440010303003014|01
440010303003015|01
440010303003016|01
440010303003017|01
440010303003018|01
440010303003019|01
440010303003020|01
440010303003021|01
440010303003022|01
440010303003023|01
440010303003024|01
440010303003025|01
440010304001000|01
440010304001001|01
440010304001002|01
440010304001003|01
440010304001004|01
440010304001005|01
440010304001006|01
440010304001007|01
440010304001008|01
440010304001009|01
440010304001010|01
440010304001011|01
440010304001012|01
440010304001013|01
440010304001014|01
440010304001015|01
440010304001016|01
440010304001017|01
440010304001018|01
440010304001019|01
440010304001020|01
440010304001021|01
440010304001022|01
440010304001023|01
440010304002000|01
440010304002001|01
440010304002002|01
440010304002003|01
440010304002004|01
440010304002005|01
440010304002006|01
440010304002007|01
440010304002008|01
440010304002009|01
440010304002010|01
440010304002011|01
440010304002012|01
440010304002013|01
440010304002014|01
440010304002015|01
440010304002016|01
440010304002017|01
440010304002018|01
440010304002019|01
440010304002020|01
440010304002021|01
440010304002022|01
440010304002023|01
440010304002024|01
440010304002025|01
440010304002026|01
440010304002027|01
440010304002028|01
440010304002029|01
440010304002030|01
440010304003000|01
